Headline,Date,Sentiment Score,Organization Names
"""Once Volume Increases, Green Hydrogen Will Cost Come Down"": Oil India Chairperson - NDTV",2024-02-06 12:51:44,0.996130108833313,"['Green H', 'Oil India', 'NDTV']"
Envision Energy Partners with BASF to Boost Green Hydrogen Development for Renewable Energy Transition - SolarQuarter,2024-02-06 12:25:00,0.9980037808418274,"['Envision Energy Partners', 'BASF', 'Bo', '##ost Green Hydrogen Development', 'SolarQuarter']"
"Green hydrogen: Proposals for projects worth ₹2.70 trillion received, says energy minister - Hindustan Times",2024-02-04 02:32:04,0.9727908372879028,['Hindustan Times']
5 ways to make green hydrogen available around the world | World Economic Forum - World Economic Forum,2024-02-05 17:30:45,0.997398853302002,"['World Economic Forum', 'World Economic Forum']"
IIPE in Visakhapatnam launches a pilot project to produce green hydrogen using NTPC’s desalinated water - The Hindu,2024-02-04 19:15:00,0.9057272672653198,"['IIPE', 'NTPC']"
MNRE Launches Pilot Projects to Implement Green Hydrogen in Steel Industry - Mercom India,2024-02-05 10:00:10,0.9935939908027648,"['MNRE Launch', 'Projects', 'Steel Industry', 'Mercom India']"
MNRE releases guidelines for pilot projects on use of green hydrogen in shipping sector - Press Trust of India,2024-02-05 14:09:42,0.802383303642273,"['MNRE', 'Press Trust of India']"
The Hydrogen Stream: Reliance Industries to convert existing 5000 ICE trucks to run on green hydrogen by mid-2024 - pv magazine India,2024-02-05 05:52:59,0.6181268095970154,"['Reliance Industries', 'I']"
Disinvestment-bound SCI to spearhead govt’s Green Hydrogen scheme in shipping - PSU Watch,2024-02-03 09:42:33,0.986437439918518,"['SC', 'PSU Watch']"
Green Hydrogen Revolution in Indian Steel: National Mission Unleashes Promising Pilot Initiatives - SolarQuarter,2024-02-03 05:29:53,0.9993582367897034,"['Indian Steel', 'National Mission', 'SolarQua']"
Maire Secures FEED Contract for Green Hydrogen and Ammonia Plant Integration in Portugal - ChemAnalyst,2024-02-06 12:02:43,0.9737728238105774,"['Mai', 'ChemAnalyst']"
India's first green hydrogen fuel cell bus showcased during India Energy Week - Moneycontrol,2024-02-06 14:50:04,0.9753214120864868,['Moneycontro']
"SunHydrogen, COTEC step up production of innovative green hydrogen panels - ETN News",2024-02-06 09:34:58,0.9974998831748962,"['SunHydrogen', 'COTEC', 'ETN News']"
Daily News Wrap-Up: MNRE to Implement Green Hydrogen in Steel Industry - Mercom India,2024-02-06 04:36:29,0.970337212085724,"['Daily News', 'MNRE', 'Steel Industry', 'Mercom India']"
Govt allocates Rs 455 crore for green hydrogen pilot projects in steel sector - ETEnergyWorld,2024-02-05 11:23:34,0.8597624897956848,['ETEnergyWorld']
Govt issues pilot project guidelines for Green Hydrogen in Steel Sector - Construction World,2024-02-06 11:08:41,0.7772707939147949,"['Govt', 'Green Hydrogen', 'Steel', 'Construction World']"
Maire awarded FEED contract for integrated green hydrogen and ammonia plant in Portugal - ChemEngOnline,2024-02-05 22:13:34,0.7644488215446472,"['Mai', 'F', '##EED', 'ChemEngOn']"
